Line #,Part Number,Description,PartId,Note,Manufacturer Part Number 1,Designator,Quantity,Manufacturer 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1,Package,Value
,,"Double Channel Ultra Low Noise Operational Amplifier, 6.5 MHz BW, 12 V/us SR, Industrial, 8-pin SOIC (R-8), Tube",,,ADA4075-2ARZ,"U5A, U5B, U5C, U5D, U9A, U9B, U9C, U9D, U10A, U10B, U10C, U10D",12,Analog Devices,Volume Production,Digi-Key,ADA4075-2ARZ-ND,2.04,24.49,R,
,,"Typical RED, GREEN, YELLOW, AMBER GaAs LED",,,,D1,1,,,,,,,,
1,NXJ1S0505MC-R7,DC/DC SM 1W 5V-5V SINGLE 4.2KV,14964,,NXJ1S0505MC-R7,A1,1,Murata,Volume Production,Digi-Key,811-3094-1-ND,3.55,3.55,SMD/SMT,
2,CL21B104KACNNNC,CAP CER 0.1UF 25V X7R 0805,5699,,CL21B104KACNNNC,"C1A, C1B, C1C, C1D, C1E, C1F, C1G, C1H, C1I, C1J, C1K, C1L, C2A, C2B, C2C, C2D, C2E, C2F, C2G, C2H, C2I, C2J, C2K, C2L, C6A, C6B, C6C, C6D, C6E, C6F, C6G, C6H, C6I, C6J, C6K, C6L, C15A, C15B, C15C, C16A, C16B, C16C, C17A, C17B, C17C, C18A, C18B, C18C, C19A, C19B, C19C, C20A, C20B, C20C, C37, C40",56,Samsung,Volume Production,Digi-Key,1276-1099-1-ND,0.0203,2.03,805,0.1uF
3,C0805C105J3RACTU,CAP CER 1UF 25V X7R 0805,6145,,C0805C105J3RACTU,"C3A, C3B, C3C, C4A, C4B, C4C, C5A, C5B, C5C",9,KEMET,Volume Production,Digi-Key,399-10060-1-ND,0.848,8.48,805,1uF
4,EEU-FC2A220,CAP ALUM 22UF 20% 100V RADIAL,7484,,EEUFC2A220,"C7, C29",2,Panasonic,Volume Production,Digi-Key,P10770-ND,0.46,0.92,Radial,22uF
5,C3216X5R1H475K085AB,CAP CER 4.7UF 50V X5R 1206,17022,,C3216X5R1H475K085AB,"C8, C9, C30, C31",4,TDK,Volume Production,Digi-Key,445-14692-6-ND,0.9,3.6,1206,4.7uF
6,CL31A226KAHNNNE,CAP CER 22UF 25V X5R 1206,15794,,CL31A226KAHNNNE,"C10, C11, C12, C13, C33, C34, C35, C36, C41, C42",10,Samsung,Volume Production,Digi-Key,1276-3047-6-ND,0.361,3.61,1206,22uF
7,C0805S223K1RAC7800,CAP CER 0.022UF 100V X7R 0805,14304,,C0805S223K1RACTU,C14,1,KEMET,Volume Production,Digi-Key,399-13176-1-ND,0.49,0.49,805,0.022uF
8,CL31B225KCHSNNE,CAP CER 2.2UF 100V X7R 1206,6260,,CL31B225KCHSNNE,"C32, C43",2,Samsung,Volume Production,Digi-Key,1276-3138-1-ND,0.51,1.02,1206,2.2uF
9,C1206C106M3RACTU,CAP CER 10UF 25V X7R 1206,6235,,C1206C106M3RACTU,"C38, C39",2,KEMET,Volume Production,Digi-Key,399-7443-1-ND,0.74,1.48,1206,10uF
