# Created by VisualPlace version 3.0.6117 at Sun May  3 02:50:19 2020
# Report origin: (0.0/0.0) = lower left corner of PCB
# Units: inch
"Designator","Value","X","Y","Rotation","Side","Package"

"C1L","0.1uF","3.5839","4.3789","270.0","Top","CAP_0805/2012"
"C1J","0.1uF","3.5839","3.0011","270.0","Top","CAP_0805/2012"
"C1H","0.1uF","3.5839","1.6232","270.0","Top","CAP_0805/2012"
"C1F","0.1uF","1.1309","1.3346","90.0","Top","CAP_0805/2012"
"C1K","0.1uF","3.5839","3.6900","270.0","Top","CAP_0805/2012"
"C1E","0.1uF","1.1309","1.9888","90.0","Top","CAP_0805/2012"
"C1I","0.1uF","3.5839","2.3121","270.0","Top","CAP_0805/2012"
"C1D","0.1uF","1.1309","2.6429","90.0","Top","CAP_0805/2012"
"C1C","0.1uF","1.1309","3.2970","90.0","Top","CAP_0805/2012"
"C1B","0.1uF","1.1309","3.9512","90.0","Top","CAP_0805/2012"
"C1A","0.1uF","1.1309","4.6053","90.0","Top","CAP_0805/2012"
"C1G","0.1uF","3.5839","0.9342","270.0","Top","CAP_0805/2012"
"C2L","0.1uF","3.5984","4.6732","270.0","Top","CAP_0805/2012"
"C2J","0.1uF","3.4815","3.1979","90.0","Top","CAP_0805/2012"
"C2H","0.1uF","3.4815","1.8200","90.0","Top","CAP_0805/2012"
"C2F","0.1uF","1.2411","1.2047","270.0","Top","CAP_0805/2012"
"C2K","0.1uF","3.6063","4.0157","270.0","Top","CAP_0805/2012"
"C2E","0.1uF","1.2411","1.8589","270.0","Top","CAP_0805/2012"
"C2I","0.1uF","3.4815","2.5090","90.0","Top","CAP_0805/2012"
"C2D","0.1uF","1.2411","2.5130","270.0","Top","CAP_0805/2012"
"C2C","0.1uF","1.2411","3.1671","270.0","Top","CAP_0805/2012"
"C2B","0.1uF","1.2411","3.8213","270.0","Top","CAP_0805/2012"
"C2A","0.1uF","1.2411","4.4754","270.0","Top","CAP_0805/2012"
"C2G","0.1uF","3.4815","1.1311","90.0","Top","CAP_0805/2012"
